Timestamp,ApplicationName,ErrorType,ErrorMessage,SeverityLevel
2026-06-04 13:26:12,InventoryManager,NullPointerException,Attempted to access a null object reference.,Critical
2026-05-14 04:20:52,AuthService,NullPointerException,Attempted to access a null object reference.,Low
2026-05-31 02:14:17,UserDashboard,OutOfMemoryError,Java heap space out of memory.,Critical
2026-06-07 04:47:47,PaymentGateway,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-20 14:37:28,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-24 07:53:20,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,Critical
2026-06-02 05:11:39,OrderProcessing,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-06-08 03:47:45,InventoryManager,OutOfMemoryError,Java heap space out of memory.,High
2026-06-02 05:16:41,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-06-07 07:15:42,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-14 16:40:25,AuthService,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-19 05:50:26,OrderProcessing,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-06-06 14:40:13,OrderProcessing,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-28 04:20:39,AuthService,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-06-07 03:43:47,InventoryManager,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-27 06:24:09,InventoryManager,NullPointerException,Attempted to access a null object reference.,Critical
2026-06-03 07:23:46,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-16 06:21:22,PaymentGateway,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-18 05:51:04,UserDashboard,OutOfMemoryError,Java heap space out of memory.,High
2026-05-22 04:49:29,AuthService,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-28 16:03:06,UserDashboard,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-05-31 22:05:21,OrderProcessing,NullPointerException,Attempted to access a null object reference.,High
2026-06-04 02:36:33,InventoryManager,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-10 15:31:00,InventoryManager,NullPointerException,Attempted to access a null object reference.,Low
2026-05-22 21:15:25,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,High
2026-05-18 16:21:05,AuthService,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-15 16:43:35,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-10 04:14:42,PaymentGateway,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-26 17:55:46,AuthService,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-23 04:09:18,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-13 16:39:41,AuthService,NullPointerException,Attempted to access a null object reference.,High
2026-06-05 16:37:56,InventoryManager,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-31 06:13:58,PaymentGateway,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-06-04 21:42:44,AuthService,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-24 12:42:43,UserDashboard,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-11 22:46:17,InventoryManager,NullPointerException,Attempted to access a null object reference.,High
2026-05-28 09:46:20,InventoryManager,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-10 23:56:50,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-06-08 10:18:49,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-23 00:17:41,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-21 04:17:03,InventoryManager,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-20 20:07:54,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-29 23:36:10,PaymentGateway,NullPointerException,Attempted to access a null object reference.,Critical
2026-05-29 16:18:13,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-12 10:20:15,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-25 19:38:53,UserDashboard,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-16 06:19:46,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-22 13:39:35,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-15 01:42:08,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-09 16:49:10,InventoryManager,AuthenticationFailure,Invalid credentials provided for user login.,Low
2026-05-13 21:30:53,OrderProcessing,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-19 20:50:15,UserDashboard,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-06-07 15:33:47,AuthService,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-28 07:52:32,PaymentGateway,OutOfMemoryError,Java heap space out of memory.,High
2026-05-14 08:47:30,OrderProcessing,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-06-05 09:25:51,OrderProcessing,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-19 08:54:32,UserDashboard,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-16 03:06:09,AuthService,AuthenticationFailure,Invalid credentials provided for user login.,Low
2026-05-25 05:15:15,PaymentGateway,NullPointerException,Attempted to access a null object reference.,Low
2026-05-17 03:43:57,UserDashboard,AuthenticationFailure,Invalid credentials provided for user login.,Critical
2026-05-25 03:06:10,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,High
2026-05-22 15:21:19,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-06-04 21:19:25,InventoryManager,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-28 04:29:32,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-19 09:07:59,UserDashboard,AuthenticationFailure,Invalid credentials provided for user login.,Critical
2026-06-07 12:50:57,OrderProcessing,AuthenticationFailure,Invalid credentials provided for user login.,Critical
2026-05-13 01:40:32,AuthService,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-24 18:50:23,UserDashboard,AuthenticationFailure,Invalid credentials provided for user login.,Critical
2026-05-13 16:34:18,PaymentGateway,NullPointerException,Attempted to access a null object reference.,Critical
2026-05-26 11:35:27,PaymentGateway,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-18 02:36:14,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-11 13:58:34,PaymentGateway,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-23 11:39:21,OrderProcessing,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-27 20:12:17,PaymentGateway,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-22 05:16:09,UserDashboard,OutOfMemoryError,Java heap space out of memory.,Critical
